,id,user_id,session_date,mb_used
0,1000_13,1000,2018-12-29,89.86
1,1000_204,1000,2018-12-31,0.0
2,1000_379,1000,2018-12-28,660.4
3,1000_413,1000,2018-12-26,270.99
4,1000_442,1000,2018-12-27,880.22
5,1001_0,1001,2018-08-24,284.68
6,1001_3,1001,2018-12-09,656.04
7,1001_4,1001,2018-11-04,16.97
8,1001_10,1001,2018-11-27,135.18
9,1001_15,1001,2018-12-13,761.92
10,1001_16,1001,2018-10-28,501.53
11,1001_17,1001,2018-09-05,727.29
12,1001_24,1001,2018-09-05,622.03
13,1001_25,1001,2018-10-14,310.43
14,1001_26,1001,2018-09-17,0.0
15,1001_27,1001,2018-12-13,149.17
16,1001_28,1001,2018-10-17,0.0
17,1001_29,1001,2018-10-09,1067.99
18,1001_30,1001,2018-12-27,157.2
19,1001_33,1001,2018-09-27,236.4
20,1001_34,1001,2018-09-18,299.66
21,1001_37,1001,2018-12-26,694.5
22,1001_38,1001,2018-11-25,288.27
23,1001_40,1001,2018-12-27,632.84
24,1001_42,1001,2018-12-03,474.35
25,1001_43,1001,2018-11-16,196.94
26,1001_44,1001,2018-09-27,44.91
27,1001_45,1001,2018-10-23,483.49
28,1001_47,1001,2018-12-07,317.01
29,1001_48,1001,2018-09-08,284.97
30,1001_49,1001,2018-10-18,534.65
31,1001_50,1001,2018-11-27,618.84
32,1001_52,1001,2018-11-17,409.19
33,1001_53,1001,2018-11-10,418.75
34,1001_54,1001,2018-09-02,0.0
35,1001_61,1001,2018-11-28,121.3
36,1001_63,1001,2018-12-03,144.94
37,1001_64,1001,2018-12-10,14.03
38,1001_65,1001,2018-09-17,969.54
39,1001_66,1001,2018-10-17,976.69
40,1001_71,1001,2018-09-06,310.16
41,1001_73,1001,2018-10-04,501.87
42,1001_75,1001,2018-11-11,438.76
43,1001_77,1001,2018-10-31,0.0
44,1001_80,1001,2018-12-24,0.0
45,1001_82,1001,2018-11-28,255.14
46,1001_84,1001,2018-10-13,0.0
47,1001_85,1001,2018-12-16,624.34
48,1001_86,1001,2018-09-17,71.78
49,1001_87,1001,2018-09-30,179.68
50,1001_88,1001,2018-11-10,598.66
51,1001_90,1001,2018-08-29,499.76
52,1001_92,1001,2018-09-22,172.1
53,1001_93,1001,2018-09-06,240.13
54,1001_94,1001,2018-12-03,0.0
55,1001_97,1001,2018-08-27,106.97
56,1001_101,1001,2018-11-20,550.25
57,1001_102,1001,2018-08-18,479.78
58,1001_103,1001,2018-12-10,0.0
59,1001_108,1001,2018-08-16,82.78
60,1001_109,1001,2018-10-21,596.08
61,1001_113,1001,2018-10-10,709.95
62,1001_122,1001,2018-10-05,500.02
63,1001_123,1001,2018-11-11,180.0
64,1001_124,1001,2018-09-28,0.0
65,1001_125,1001,2018-11-01,56.27
66,1001_128,1001,2018-12-02,468.54
67,1001_129,1001,2018-10-03,172.24
68,1001_131,1001,2018-12-28,149.43
69,1001_132,1001,2018-09-24,73.9
70,1001_133,1001,2018-08-17,173.39
71,1001_134,1001,2018-10-26,744.51
72,1001_137,1001,2018-10-26,112.57
73,1001_138,1001,2018-11-24,402.83
74,1001_139,1001,2018-10-23,155.43
75,1001_141,1001,2018-10-19,248.02
76,1001_142,1001,2018-09-24,341.62
77,1001_143,1001,2018-10-02,0.0
78,1001_145,1001,2018-11-28,782.11
79,1001_147,1001,2018-09-06,0.0
80,1001_148,1001,2018-09-01,298.57
81,1001_151,1001,2018-10-19,1123.93
82,1001_152,1001,2018-10-04,567.54
83,1001_153,1001,2018-09-21,281.98
84,1001_155,1001,2018-09-08,90.71
85,1001_156,1001,2018-08-31,801.08
86,1001_158,1001,2018-12-04,428.13
87,1001_162,1001,2018-09-13,0.0
88,1001_163,1001,2018-12-21,167.42
89,1001_165,1001,2018-11-21,92.86
90,1001_166,1001,2018-11-05,0.0
91,1001_167,1001,2018-10-31,372.12
92,1001_169,1001,2018-10-01,643.67
93,1001_173,1001,2018-12-15,395.04
94,1001_174,1001,2018-10-22,692.92
95,1001_175,1001,2018-11-18,523.9
96,1001_178,1001,2018-09-07,213.61
97,1001_179,1001,2018-10-05,62.08
98,1001_180,1001,2018-08-25,468.13
99,1001_181,1001,2018-08-21,0.0
100,1001_186,1001,2018-09-08,45.92
101,1001_188,1001,2018-11-21,416.1
102,1001_190,1001,2018-12-14,0.0
103,1001_193,1001,2018-09-16,0.0
104,1001_194,1001,2018-09-27,831.08
105,1001_196,1001,2018-08-29,0.0
106,1001_197,1001,2018-09-28,306.56
107,1001_198,1001,2018-09-09,165.69
108,1001_199,1001,2018-12-18,1119.44
109,1001_202,1001,2018-11-19,377.89
110,1001_204,1001,2018-12-29,261.88
111,1001_207,1001,2018-10-08,322.28
112,1001_210,1001,2018-09-19,1174.73
113,1001_211,1001,2018-12-20,273.02
114,1001_213,1001,2018-11-06,451.41
115,1001_214,1001,2018-12-25,629.16
116,1001_216,1001,2018-11-07,315.59
