,id,user_id,message_date
0,1000_125,1000,2018-12-27
1,1000_160,1000,2018-12-31
2,1000_223,1000,2018-12-31
3,1000_251,1000,2018-12-27
4,1000_255,1000,2018-12-26
5,1000_346,1000,2018-12-29
6,1000_386,1000,2018-12-30
7,1000_413,1000,2018-12-31
8,1000_502,1000,2018-12-27
9,1000_525,1000,2018-12-28
10,1000_567,1000,2018-12-25
11,1001_1,1001,2018-11-14
12,1001_2,1001,2018-08-17
13,1001_5,1001,2018-12-05
14,1001_7,1001,2018-11-28
15,1001_9,1001,2018-10-23
16,1001_10,1001,2018-09-01
17,1001_11,1001,2018-11-18
18,1001_17,1001,2018-12-11
19,1001_18,1001,2018-10-01
20,1001_19,1001,2018-09-13
21,1001_21,1001,2018-12-30
22,1001_23,1001,2018-08-23
23,1001_25,1001,2018-10-10
24,1001_30,1001,2018-12-14
25,1001_32,1001,2018-09-11
26,1001_34,1001,2018-10-09
27,1001_35,1001,2018-09-18
28,1001_37,1001,2018-09-06
29,1001_39,1001,2018-09-13
30,1001_44,1001,2018-08-19
31,1001_46,1001,2018-12-17
32,1001_47,1001,2018-12-23
33,1001_48,1001,2018-11-08
34,1001_49,1001,2018-12-25
35,1001_50,1001,2018-10-18
36,1001_52,1001,2018-09-20
37,1001_54,1001,2018-09-01
38,1001_58,1001,2018-12-06
39,1001_60,1001,2018-08-22
40,1001_63,1001,2018-09-19
41,1001_65,1001,2018-10-21
42,1001_66,1001,2018-12-10
43,1001_69,1001,2018-10-19
44,1001_70,1001,2018-09-10
45,1001_71,1001,2018-09-18
46,1001_72,1001,2018-10-19
47,1001_73,1001,2018-09-28
48,1001_75,1001,2018-11-25
49,1001_76,1001,2018-10-30
50,1001_80,1001,2018-10-12
51,1001_82,1001,2018-08-24
52,1001_83,1001,2018-12-25
53,1001_89,1001,2018-10-31
54,1001_91,1001,2018-08-15
55,1001_92,1001,2018-12-10
56,1001_94,1001,2018-11-25
57,1001_95,1001,2018-08-31
58,1001_96,1001,2018-08-29
59,1001_97,1001,2018-12-05
60,1001_98,1001,2018-12-10
61,1001_99,1001,2018-09-17
62,1001_102,1001,2018-12-26
63,1001_103,1001,2018-10-11
64,1001_111,1001,2018-08-22
65,1001_112,1001,2018-11-03
66,1001_115,1001,2018-10-11
67,1001_116,1001,2018-11-28
68,1001_117,1001,2018-11-13
69,1001_118,1001,2018-09-09
70,1001_119,1001,2018-10-06
71,1001_120,1001,2018-09-02
72,1001_121,1001,2018-10-26
73,1001_126,1001,2018-11-15
74,1001_129,1001,2018-10-29
75,1001_130,1001,2018-10-30
76,1001_131,1001,2018-08-29
77,1001_132,1001,2018-08-31
78,1001_133,1001,2018-12-17
79,1001_134,1001,2018-11-10
80,1001_138,1001,2018-12-21
81,1001_139,1001,2018-09-25
82,1001_143,1001,2018-10-09
83,1001_144,1001,2018-12-30
